数据分析师,北京,资产360,15k-20k,3-5年,本科,金融
数据分析,上海,京东物流,10k-20k,1-3年,本科,物流｜运输
高级数据分析师,深圳,八号仓奥特莱斯,10k-20k,5-10年,本科,新零售
高级数据分析师,杭州,学同科技,15k-30k,不限,本科,"人工智能服务,数据服务｜咨询,软件服务｜咨询"
数据分析专家,上海,上海嘉银金融科技股份有限公司,30k-50k,5-10年,本科,科技金融
数据分析师,成都,中佳兴证,9k-10k,1-3年,本科,数据服务｜咨询
数据分析师,北京,枫调理顺,18k-30k,3-5年,本科,"区块链,专业服务｜咨询"
数据分析师,上海,携程集团,15k-25k,1-3年,本科,旅游｜出行
数据分析师,上海,漫微科技,15k-30k,5-10年,本科,软件服务｜咨询
数据分析师,北京,漫微科技,15k-30k,3-5年,本科,软件服务｜咨询
高级数据分析师,上海,中通快递,20k-40k,5-10年,本科,物流｜运输
数据分析师,杭州,橙鹰,20k-40k,5-10年,本科,数据服务｜咨询
数据分析师,北京,柏睿数据,9k-15k,不限,本科,数据服务｜咨询
数据分析师,成都,成都智慧企业发展研究院有限公司,12k-18k,3-5年,本科,专业服务｜咨询
数据分析专家,上海,上海嘉银金融科技股份有限公司,25k-40k,3-5年,本科,科技金融
数据分析师,北京,e城e家,15k-30k,3-5年,本科,生活服务
数据分析师,上海,爱回收,15k-25k,3-5年,本科,电商平台
数据分析师,深圳,爱问科技,10k-20k,3-5年,本科,内容社区
高级数据分析师,北京,北京花房科技有限公司,25k-40k,5-10年,本科,"移动互联网,社交"
数据分析专员,深圳,深圳华强电子交易网络有限公司,6k-10k,不限,本科,电商平台
数据分析师,成都,海创云出海计算,8k-12k,3-5年,本科,数据服务｜咨询
数据分析师,上海,樊登读书,15k-30k,3-5年,本科,"内容社区,在线教育"
数据分析师,成都,路行通,14k-20k,3-5年,硕士,"生活服务,消费生活"
数据分析师,上海,么么直播,15k-25k,1-3年,本科,MCN｜直播平台
数据分析,北京,Dilato,6k-8k,1-3年,大专,IT技术服务｜咨询
数据分析师,上海,樊登读书,10k-20k,1-3年,本科,"内容社区,在线教育"
数据分析师,深圳,深圳联通,12k-24k,3-5年,本科,网络通信
数据分析专家,北京,滴滴,20k-40k,3-5年,本科,旅游｜出行
数据分析,北京,术杰科技,25k-30k,1-3年,本科,软件开发
数据分析专员,北京,乐约健康,10k-12k,3-5年,本科,科技金融
数据分析师,广州,中思拓研究院,10k-15k,3-5年,本科,"数据服务,软件开发"
