【千锋教育】python 600集（基础+项目实战）,python,210:33:48,52000,245,2019/2/14,逆风微笑的代码狗,http://www.bilibili.com/video/av43497752?from=search&seid=4330805869802179481
（进阶）2019千锋JavaScript全套视频~全套资料（334集）,h5,114:42:11,47,0,2019/12/2,佐藤Edward,http://www.bilibili.com/video/av77808645?from=search&seid=4330805869802179481
（基础）2019千锋Web前端：一阶段专题视频合集,h5,3:28:44,4,0,2019/12/2,佐藤Edward,http://www.bilibili.com/video/av77782020?from=search&seid=4330805869802179481
【（千锋教育）Vue 渐进式 JavaScript 框架】MVVM 模式的实现者,h5,6:37:56,18000,317,2019/2/21,鲁斯菲尔,http://www.bilibili.com/video/av44230028?from=search&seid=4330805869802179481
（高级）2019最新nodeJS从入门到大神【千锋Web前端】（50集）,h5,17:05:21,8,0,2019/12/3,佐藤Edward,http://www.bilibili.com/video/av77950275?from=search&seid=4330805869802179481
【千锋教育】2019网络安全：渗透测试项目-DC靶机实战（完）,其他,3:34:06,1606,4,2019/9/24,白帽子-枯灯少年,http://www.bilibili.com/video/av68852778?from=search&seid=4330805869802179481
【（千锋教育）Java 微服务架构 Dubbo 篇】一款高性能 Java RPC 框架,java,16:18:45,29000,432,2018/11/10,鲁斯菲尔,http://www.bilibili.com/video/av35685648?from=search&seid=4330805869802179481
2018最新千锋linux云计算从入门到精通,其他,150:47:56,37000,111,2018/11/16,zj9540,http://www.bilibili.com/video/av36086847?from=search&seid=4330805869802179481
【PHP】千锋教育 PHP语法基础与数据库详解教程,其他,9:15:33,857,3,2019/9/18,Web前端基地,http://www.bilibili.com/video/av68201503?from=search&seid=4330805869802179481
【千锋】2019Web前端从入门到精通（HTML+CSS全套）,h5,45:10:54,85000,1943,2019/5/16,千锋教育,http://www.bilibili.com/video/av52670599?from=search&seid=8189182922628157808
【千锋教育】GOlang+区块链/比特币 深度实战项目课（完）,其他,10:52:38,1106,1,2019/11/22,逆风微笑的代码狗,http://www.bilibili.com/video/av75517681?from=search&seid=8189182922628157808
（基础）【千锋】2019Web前端从入门到精通（HTML+CSS全套）,h5,44:58:35,72,0,2019/12/2,佐藤Edward,http://www.bilibili.com/video/av77783064?from=search&seid=8189182922628157808
